SMILES,num_heavy,molecular_weight,tpsa
C[C@H](N)C(=O)O,6,89.09399999999998,63.32000000000001
NC(N)=NCCC[C@H](N)C(=O)O,12,174.20399999999998,127.72000000000001
NC(=O)C[C@H](N)C(=O)O,9,132.119,106.41000000000001
N[C@@H](CC(=O)O)C(=O)O,9,133.10299999999998,100.62000000000002
N[C@@H](CS)C(=O)O,7,121.16099999999997,63.32000000000001
N[C@@H](CCC(=O)O)C(=O)O,10,147.13,100.62000000000002
NC(=O)CC[C@H](N)C(=O)O,10,146.14600000000002,106.41000000000001
NCC(=O)O,5,75.067,63.32000000000001
N[C@@H](Cc1cnc[nH]1)C(=O)O,11,155.15699999999998,92.0
CC[C@H](C)[C@H](N)C(=O)O,9,131.175,63.32000000000001
CC(C)C[C@H](N)C(=O)O,9,131.175,63.32000000000001
NCCCC[C@H](N)C(=O)O,10,146.19,89.34
CSCC[C@H](N)C(=O)O,9,149.215,63.32000000000001
N[C@@H](Cc1ccccc1)C(=O)O,12,165.19199999999995,63.32000000000001
O=C(O)[C@@H]1CCCN1,8,115.13200000000002,49.33
N[C@@H](CO)C(=O)O,7,105.09299999999999,83.55
C[C@@H](O)[C@H](N)C(=O)O,8,119.11999999999999,83.55
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,15,204.22899999999998,79.11
N[C@@H](Cc1ccc(O)cc1)C(=O)O,13,181.19099999999997,83.55
CC(C)[C@H](N)C(=O)O,8,117.14799999999998,63.32000000000001
